sentiment,target
"kisaca türk ve atatürk düsmani bir adam.filmi oynuyor ya,sehitlerin kemikleri sizliyordur..",negative
çok güzel bir film.bastan sona kadar çok akici ve filmden hiç kopmuyorsunuz.kurgu ve efektler bir numara bnce herkesin izlemesi gereken bir film mutlaka gidin.verdiginiz parayi hak ediyor..,positive
"gördügüm en kötü filmler arasinda yer aldigini söylemeliyim. birkaç sahne disinda bos, siradan ve sikiciydi, vizyondaki herhangi bir çizgi film bile eminim daha çok eglendirebilir...",negative
"kadroya sakin aldanmayin,film birde 2 saate yakin sürüyor,sonu o kadar basit bitiyorki,diyorsunuz güzerl çatismalar olacak falan ama hiçbise yok,kötü film..",negative
"gerçekten çok güzel bi kurgu, seyircinin olaylari tahmin edememesi için ellerinden geleni yapmislar... film fedakarlik ve saplanti arasinda ki farklari ve bunlari oldugu gibi tanimliyor. giris ve bitis çok güzel kombine edilmis. kesinlikle tavsiye ediyorum. sihirli filmler",positive
hayatimda izledigim en etkili film. filmi bu denli cekici kilan ise her seyi oldugu gibi sermesi olsa gerek. prestij 10 kere izlense bile tadindan birsey kaybetmeyecek kadar guzel bir film.,positive
cok muhtesem ve de derin bir konu ama gercekten oyunculuk rezalet.,negative
keske daha önce izlemememis olsaydim simdi izlerdim cümlesini defalarca kurup her seferinde tekrardan izledigim tek film. .,positive
saka mi yapyorsunuz bu benim yarisinda dayanamayip salonu terkettigim film ''the mist'' mi koltuga çivileyen...koltuktan çok efektlere çiviledi beni...rezaletti efektler....,negative
"çok güzel, süper, mükemmel... oyunculuklar, konu, islenis... bu filmin arkasindan elisabeth filmini tekrar izlemek istedim yalniz. sanki birbirini tamamlayacakmis gibi. çok güzeldi gerçekten izlenmeli....",positive
"arkadaslar ask ve gurur filmini çok begenmistim ama burada hayal kirikligi yasadim, bir kere çok yavas ilerliyor ve sikici. keira bile kurtaramamis filmi bana kalirsa. güzel olan tek yer sonuydu o da belki hayal edemeyeceginiz gibiydi gene de ipucu vermek istemiyorum, ama sonuç hayal kirikligi.",negative
"kesinlikle sürükleyici, sasirtici ve etkileyici....",positive
mrk etme filmi izledim önyargili falan degilim ve film kesinilkle berbat purcell gibi iyi bir oyuncu bile bu filmde kaybolmus.,negative
iyi oyuncularin hatta iyi bir yönetmenin olmasi dahi bu filmi kötü olmaktan kurtaramamis .,negative
az önce bir daha çikarip izledim..10 senedir arada bir bu filmi seyretmek sizi toparliyor..benim için sinema tarihinin 1 numarasi..herseyiyle basyapit...,positive
"herhalde jim carreyin en kötü filmiydi. filmde birbirini takip eden skeçlerden ve jim carreynin mimiklerinden baska pek bir sey yok. filmin konusu herseye evet diyen bir adam, baska bir yan konu, sürükleyici baska bir gelisme falan yok..",negative
filmin gecikmesi çok kötü oldu... simdi ne güzel izlemis olucaktik tam 16 aydir yeni bir harry potter filmi seyretmiyorum sanirim bi 6 ay daha seyredemicem ....,negative
fragmanlariyla alakasi yok.fragmanlarindan etkilenip gitmistim ama fiyasko çikti.yazik etmisler filmin ismine.,negative
"klasik bir ask filmi oldugu ilk sahnelerinden belli olsa da , daha sonra konuyu isleyis tarzi ve romantizmi ayrica gemideki sahneler ve rdn nin karaktere verdigi performans için kesinlikle izlenmesi gereken bir film. take that sevmem ama soundtrack teki performans müthisti onu da tavsiye ederim....",positive
"herkes nasil bu kadar güzel yorumlar yapabilmis çok sasirdim.film bana kesinlikle hiç bisey hissettiremedi,sikildim,bütün karakterler bölük pörçük,oyuncularda çok basarili degildi.film bittikten sonra ben de hiç bir etki birakmadi..",negative
birbiri ile baglantili harika bir film idi. hiç bir açik noktasi yok senaryonun da bu kadar ompleks bir yapida olmasina ragmen. anthony hopkins zaten ayri bir dahi gibi oynamis. son günlerin en iyi filmlerinden..,positive
filmi yaris sahneleribazi kisimlari hariç çok vasat buldum. bana göre bu film benzer bir tür olan (tabii az kanli ve ölümlü) olan need for speed çok gölgesinde kalmis. strathamin basarili oyunculugu bile filmi kurtarmiyor..,negative
ilk bu filmi sinemada izledim ve insanin inandiktan sonra neleri yapabilecegini fark ettim. gerçekten süper filmdi. halen içimden geldikçe takip izlerim ve asla sikilmam.,positive
iste türk fimlerini batiran bir film daha hiç bir konu mesaj anlam hatta amaç yok.lütfen puan verirken biraz elimizi vicdanimiza koyalim. koyalim da film yapanlar bosuna zamanimizi çalacak filmler yapmasinlar.film ne dram ne aksiyon ne gerilim tamamen komedi.sifir bile çok.,negative
"izledim ve izledigime pisman oldum. ilkine yaklasamamis bile, adini kirletmis resmen. .",negative
hakkini yememek lazim gerim gerim geriyo insani:)hele ani çikis sahneleri süper di.filmin bitisi ise ayri bi güzellik tasiyodu zaten.gerilim filmi isteyenlere duyrulur,positive
uzun zamandir bu kadar kötü bir film izlememistim senaryo kurgu sifir kesinlikle öneremeyecegim filmler arasinda zaten filmin sonunu söylemeye bile gerek yok ne oldugu belli degil kisacasi skandal bir film olmus malesef...,negative
gidin..seyredin..ve düsünün..hayat gerçekten çok kisa.peki biz nasil degerlendiriyoruz hayatimizi'izlenesi bir film.oyuncular hakkinda zaten yoruma gerek bile yok.çok etkileyici!.,positive
cok yazik olmus boyle saglam konuyu gunumuz sartlarinda en fazla bu kadar kotu cekilebilirdi tek etkileyen sahne tekbir cekilmesi baska bir dalgasi yok filmin ama izlenebilir.,negative
oyunculuk mükemmel ama film için ayni seyi söyleyemiyecegim.hayir anlamadigim cage bu filmi nasil kabul etmis.parasimi yok.cagein patladigi sahnelerde sirayla herkesi öldürmeye kalksa belki biseye benzer ama hiçbirsey bu filmi kurtaramamis.. .,negative
çok hos bir film.bence en iyi tom hanks filmi bu.er ryani kurtarmak ve yesil yoldan daha iyi oldugunu düsünüyorum.izlenmesi gerken bir film.izlerken hos vakit geçiriyorsunuz..,positive
gore severler kaçirmasin! evlere senlik kan gövdeyi götürüyor....,positive
"vay anasini yaa! amma abartilmis. 50. dakikadan sonrasini midem kaldirmadi. kimse benim sevdigim tarzi sevmek zorunda degil ayni sekilde bende bu filmi. ne varda abartilmis bu denli anlamadim, klasik vampirli iyi kötü mücadelesi.  bile fazla.",negative
böyle tekrar filmlerinden artik sikildik. daha yaratici yapimlar bekliyoruz. basi sonu ortasi belli vasatin altinda bir film..,negative
bence harika bir film zaten will smith daha da harika ama sonu biraz saçma bitti daha güzel bitirebilirerdi.,positive
evet bencede film cok kötü zümrüdanka yldasligindan sonra bi fiyasko daha resmen resil olduk gene allah bu filmi yapanlari bilddiii gibi yapsin ins..,negative
"konu sahane,ustalar sahane,film sahane....",positive
çok sikiciiiiiiiiiiiiiiiiiiiiiiii kesinlikle bayiyo bi zaman sonraaa.,negative
ben bu filme sadece yildiz kültür ve filmde çalan retro müzikler için katlandim ...sanirim baska bir sey söylemenin bu film için bir anlami yok!!!.,negative
bu filmi cok agir bi dille elestiren arkadaslari anlamiyorum.tamam filmin sonu aniden bitiyormus tadinda fakat film güzel ve sürekliligini kaybetmeden devam ediyor.. izlememis arkadaslara kötü yorumlardan etkilenmemesini ve filmi mutlaka izlemelerini tavsiye ederim....,positive
"kötü oyunculuk, basit bir senaryo.. .",negative
film çok güzel degildi..,negative
film gayet güzeldi.aksiyon sahnlerini sevenler için tam ideal bir filmdi.ayrica her türkün izlemesi gerekn bir film olarak düsünüyorum. .,positive
filmin iyi yanlarida vardi ama ben hiç begenmedim.filme nerdeyse porno dicem ya bu ne böyle!!.,negative
"diyaloglar yapmacik, senaryo klise. hele hele 3d olarak izlemeye hiç ama hiç gerek olmayan bir filmdi. kesinlikle gidilmesi, bosa zaman harcanmasi taraftari degilim..",negative
izlemeye deger bir film hayatimin en gergin 5 dk sini yasadim ama evet biraz tutarsizliklar var .,positive
baya saglamindan bir film. birçok beklentiye cevap olabilecek bir yapit.özgün bir senaryo yaninda dönemin kosullarini en iyi yansitan nadir filmlerden..,positive
ben begenmedim. oyuncular olmasa pek bisi bulamadim....,negative
aglamaktan bi süre sonra ben mozosist miyim kendime iskence ediyorum diye düsünmeme sebeb olmusturizlenince pisman olunmicagina inadigim bi film.,positive
bende filmden yeni çikmis biri olarak direk yazmak istedim gercekten fim vasat bir filim olmus oyunculuk filmde zaten yok görsellikle göz boyama baska bisi degil devamina acik kapi birakilmis umarim devami daha guzel olur,negative
"hayran olacak biseyler arayan milenyum gençligi için saç sakal dagilmis, donuk donuk ruhsuz bakan elemanlari topla, yillarin vampir hikayesini yeniden çek, milyoner ol. ne güzel vallaa",negative
film çok siradan hiristiyan seytan çikarma var ozaman yahudi versiyonunu yapalim demisler ve yapmislar kesinlikle korkutucu degil. belli sahnelerden sonra gülme sesleri duyunca komedi filmindemiyim dedirten hiç bir orjinal tarafi olmayan bir film..,negative
valla hayatimda izledigim en güzel filimlerden biriydi.mutlaka izleyin derim.,positive
dikkatli bakiyor musun?...inanilmaz bir film...filmi izledikten sonra etkisinden kurtulmak çok zor...,positive
allah askina bu filmin nesi güzel.. bütün samimiyetimle söylüyorum günahtir verdiginiz paraya.bir an önce film bitsin de gidelim diye dua ediyor insan.saçma sapan bir film..,negative
hiç güzel bi film degildi.yapimcilar bakin ne kadar çok paramiz var demisler resmen.üstelik biraz aceleye gelmis.kurtlar vadisini yazan kalemleriyle çok daha iyi bi senaryo yazabilirlerdi..,negative
bence çok guzel bi filmdi.. çok agladim ama aglanmiicak bi film diildi yani bence izlenmeli.. zaten fikret kuskan ii bi oyucu burdada belli etmis kendini hele o kucuk çocuk çok sevimliydi bence izleyin izlenmeye deger filmlerden bitanesi,positive
ya hayret bir sey ya? michael haneke durup dururken hollywood'da funny games'i amerikali oyuncularla yeniden çekti. tamam da neden?hayret bir sey. dehasindan ve politik tavrindan zerre kadar kusku yok ama olmaz ki böyle de olmaz ki ya..,negative
film abartildigi kadar yok.yetkin dikinciler iyiydi.çagan irmak daha çok çocuk üzerinde durmus .bazi hayal sahneleri çok fazla olmus filmi sikici hale getirmis.çetin tekindora fazla rol werilmemis..,negative
"çilgin haftasonu'na american pie refaransiyla gittim ama bekledigim gibi çikmadi. filmde sadece amatör kameralarla çekilen görüntülere gülüyorsunuz, gerisi erotizm düskünleri için..",negative
"filmden inanilmaz etkilendim. izlemenizi tavsiye ederim, ilk 45 dakika az da olsa filmi anlamakla geçecektir ancak daha sonra filme o kadar kaptiriyorsunuz ki kendinizi anlatamam.. hayatimda izledigim en iyi filmler arasina yerlestiriyorum bu filmi. .",positive
bir film insani bu kadar da aglatmaski yahu hele ki bu filmin türü animasyon oluncada tuhaf degilmi sizce ....,positive
beklediimden çok daha iiiyiydi.bence kaçirmayin.,positive
"hayatimda izledigim en iyi filmlerden biri,bence izleyin bu film kaçmaz..",positive
kesinlikle 2.kez izlenmiyecek bir film.filmden cok bir beklentiniz olmasin arkadaslar.vakit kaybindan baska birsey degil..,negative
samimiyeti dogalligi güzel fakat cezbedici bir film degil .,negative
ben düsünüyorum ki birdaha böyle bi film izlememem gerekir. film boyunca içim parçalandi. kendimi aci çekmis hissettim. allah' tan arada güldürdü de hüngür hüngür aglamadim. bence herkes izlemeli ama sinemada degil. evde,positive
"sevebilecek olanlardan özür diliyorum ama beni kesinlikle çekmedi , falza uzun ve senaryo kolayca öngörülebiliyor , oyuncular bile rolleri oynarken sikiliyor gibiler.",negative
yer yer basarili sanat yönetimi ve vurucu monologlari olmasa filmi sikici ve amaçladigi noktayi anlamlandirmaktan uzak bir çin iskencesi olarak nitelendirebilebilirdik..,negative
3d izleyecekseniz gerçekten muhtesem bisey ama normal bir film olarak izleyecekseniz ne desem bos,positive
hikaye süper. ama. uygulama rezil. evet filmin tam olarak özeti bu.... . gerçegimizi ve osmanli dönemini anlattigi için güzel diyorum.... . ve zaman kaybi izlemenizi tavsiye etmiyorum oldukça basit diyorum.... . .,negative
"will smith`in sahane filmlerinden biri bütün konular farkli olsada, dram, korku, gerilim, aksiyon hepsi bir arada sahane bir film...",positive
açikçasi ben filmi hiç begenmedim çünkü çok saçma özellikle son sahnesi iki üç yer güzel filmde bi yerde pornografik bi görüntü var sonuç seneyo kötü ama jason statham müthis oynamis filmi ben filme 410 veriyorum jason statham hatirina.,negative
tarantino`nun en iyi filmi.hayatiniz boyunca sadece tek bir film seyredecekseniz o film bu film olsun.pisman olmaniz imkansiz....,positive
"filme 7 verdigime pisman oldum. asagida yazdiklarim geçerli olsa da film beni içine çekti, o kadar güzel anlatilmis ki olaylar sanki içindeydim. .",positive
ya kadro ve senaryo olarak çok saglam bi film ama çok karisik dikkatle izlenmeli diyorum ayrica sonuda çok sasirtici.,positive
çok büyük beklentiyle gittim ve bekledigimi de aldim.will smith gerçekten harika bir oyuncu çok güzeldi.yine olsa yine izlerm tebrikler....,positive
"nasil diyaloglardi onlar öyle... mesela:edward: hiç uzun süre evli kalamadim.carter: merak etme, ikimize de yetecek kadar uzun zamandir evliyim...iki muhtesem oyuncu ve tatli bir senaryo.. ve sonuçta çok iyi bir film....",positive
hayatimda izledigim en güzel 4 karakterin rol aldigi bir film.inanilmaz bir film herkese öneririm....,positive
çok güzel bi filmdi nasil bittigni anlamadim..will smth ztn 10 numara oynamis...,positive
üzerinde ugrasilmis fakat bir sonuç çikmamis alisildik filmlerden. yine de emek verilmis saygi duymak lazim..,negative
"film senaryo, kurgu olarak güzel bir film olsada biraz havada kalmis bir film. filmin sonu daha etkileyici bitebilirdi ve filme biraz daha aksiyon katilabilirdi diye düsünüyorum, ayrica filmin basi biraz fazla uzun ve sikici olmus, buna ragmen 10 üzerinden 7 puani hakediyor izlenmeye deger.",positive
"yonetmen basarili bir is cikarmis ama filmin o akici halinden sonra finalde ""ee"" dedirtiyor. konusu ve bas rolleriyle gercekten guzel sikilmadan izleyebilirsiniz.psikolojik gerilim sevenlere tavsiye ediorm..",positive
"sakin izlemeyin,izlediginize,zamaninizi harcadiginiza pisman olursunuz.. film beni acayip gerdi ama sikintidan dolayi..",negative
hiç etkilenmedim nedense pek de korkunç ve geren bir film degildi ne yazikki begenmedim....,negative
"film çok gerçekçiydi , hem katil hem evli bir erkek olan adamin psikolojisini iyi aktarmis bize begendim .",positive
tek kelimeyle mükemmel. .,positive
hiç begenmedim gitmenizi tavsiye etmiyorum paraniza yazik olur.,negative
hiç begenmemistim vasatti bence..,negative
yine klasiklesmis bir türk filmi yorum yazmaya degil cümle kelime bulamiyorum sikildik artik daha inandirici olun emege saygi ama nereye kadar biraz korku filminde bir devrim yaratmamiz gerekiyor....,negative
"igrençti ,konusu belli ama senaryodan uzak olaysiz siradan bir film paraniza yazik tavsiye etmem.",negative
kaç kere izledim sayisini unuttum film evde daha da izlerim çünkü hiç bikmiyorum o derece güzel..,positive
lion king in benm hayatimda da cok büyük biyeri var... filmi ilk kez 2. sniftayken giitigm bi okul gezisinde izlemistim ve okdr çok etkilenmistim ki anneme nasill anlattysam beni tekrar götürmüstü ve su anda bu filmi benim gibi hafizasina kazinan arkadaslardan duymak çok güselll....,negative
"hiç komik gelmedi bana,sikici degil belki ama fazla gülmeyide beklemeyin,hayalkirikligi oldu benim için. .",negative
"ilk izledigimde ilkokuldaydim, ve çok duygulanmistim, çok özel bir filmdir. 2.film çekilicekse yine ayni çizgifilm seklinde olmali bence, 3boyutlu anmasyon degil. orjinalligi bozulmamali.",positive
12 yasin uzerindekiler icin zaman ve para kaybi...siradan bir walt disney filmi....,negative
böyle bir efsanenin adini kirlettikleri için yaziklar olsun diyebilirim ancak!.,positive
hakuna matata.,positive
"özü ele alindiginda iyi bir film degildi bence.bazi sahnelerde pür dikkat izledim,bazilarinda ise çok sikilarak.zaten film karanlik olmasindan dolayi antipatik geldi.ama konu olarak iyi.",negative
"söylendigi kadar var.gercekten duygularina hitap eden insanin merhamet ve hüzün hissettiren bi film.. aglamak istemesende bir yerden vuruo seni.denizin sözleri,bakislari yetio,.",positive
ilginç bir seneryosu vardi.fena sayilmaz.fakat john cusack çok iyi oynamis kesinlikle kabul etmek gerekir..,positive
ne desem azdir bu film için... erkek adam aglamaz derler ya... bu filmi izleyip te aglamasin da göreyim. tam bir aile filmi ve bizleri çok iyi analtan türden. mutlaka izleyin.,positive
jet li nin oynadigi bütün flimler güzeldir bu filmi izlemedim ama güzel olduguna inaniyorum....,positive
hangi akla hizmet çekildigini anlamak zor.çekimleri bittikten iki buçuk yil sonra gösterime girmesi bu kötü senaryolu filmin hayal kirikligi çikmasi konusunda ilk ipucuydu zaten.adrien brody ismi de genelde vasat üstü yapimlarda yer aldigi için bir çok izleyiciyi yaniltacaktir..,negative
birincisini seyrettikten sonra ikinci filmide büyük umutlarla seyretmek istedim ama film gerçekten çok kötüydü.ilk filmi izlemesem belki bu gözüme biraz daha hos gelebilirdi ama bu kadar vasat bir senaryo açikçasi beklemiyordum..,negative
"izledigim en iyi korku filmlerinden biri.tek kisilik muhtesem bir performans.her sahnesinde sasiriyor,her sahnesinde geriliyorsunuz.kurgu,oyunculuk harika..",positive
hatirliyorum da film ilk çiktiginda olumsuz elestiriler almisti ama zaman bizi hakli çikardi.bu filmi izleyip eglenmeyen var mi.,positive
ömrümde izledigim en iyi türk filmi.çetin tekindor ve özellikle fikret kuskan büyük bir alkisi hak ediyor..,positive
eskiya 1. babam ve oglum 2.dir türk sinema tarihinde....,positive
jet li herzamanki gibi yine harika.. ayrica filmin soundtracki de büyüleyici..,positive
dünyayi kurtaran adamin oglu filminden sonra izledigim en kötü türk filmi diyebilirim....,negative
tnhnphlvn =) ya mümkünse senin yorumun kalsin.  yazdiklarini istersen bi oku 'ben cok tavsiye ediyorum gdin deme! nasil ?.,positive
bu filmden sonra gerorge clooney'nin hiç bir filmine gitmeme karari aldim..,negative
"mi? film berbat, tv de izledim geçen zamanima acidim halit ergençi çok begenmeme ragmen adam kurtarmaya çalismis ama elden bisi gelmez senaryo,çekimler,müzikler,yönetmenlik,oyunculuklar....  abartmiyormmm.",negative
basit senaryo konu olmayan devamli aksiyon sahnelerinin oldugu saçma sapan bir film.,negative
orjinal etkileyici senaryo kitliginda bu aralar ilgimi çeken gerçekten güzel senaryosu oyunculugu olan son zamanlarda izledigim abuk 3'lemelerden çok daha güzel izlenmesi tavsiye olunan hos bir film....,positive
bu filmin nesi iyi ? ben hayatimda bu kadar kötü film izlemedim.,negative
artik gina geldi böyle filmlerden yok irak yok filistin yok amerika yok kürt sorunu yok ermeni sorunu falan filan galiba senaryo bulamiyolar artik böyle asalakcakca filmleri görmek istemiyoruzzzzzzzzzzzzzzzzz.,negative
filmin oyuncu kadrosunun muhtesemligi ilk göze çarpan özelligi galiba.senaryonunda iki bölüm olarak 21yy ve 18yy arasinda gidip gelmesi benim çok hosuma gitti.vampirlerle ilgili yapilan güzel bi film.iyi seyirler....,positive
muthis bir film.her dakikasi duygu yuklu.bu kadar birbirinden kopuk bi ailenin nasil dayanisma icine girdigini gormek insani gercekten duygulandiriyor.bence bu sene oscari almasi gereken film budur!!.,positive
tam anlamiyla fiyasko tabi bu benim düsüncem.,negative
oldukça basarili....,positive
"mükemmel bir filmdi zaten will smith'in oynadigi bütün filmler müthis güzel oluyo adamim bnm yaa  film haketti bunu, kesinlikle filmi izleyin...",positive
begenmedim. hiç bi konusma yok filmin baslarinda vol i vol i :s pek gülüncek yeri yoktu sanki küresel isinma için yapilmis bir film gibi çocuklarin eglenerek izleyecekleri bisey deil ben yigenim ve annemle gittim yigenim çogu bölümlerinde sikintidan yerinde duramadigini gördüm. olmamis....,negative
güzeldi türünün meraklilarina tavsiye ederim sizi sikmiyor ve sonuna kadar geriyor....,positive
bence bir konu bu kadar gereksizce uzatilabilir....filmin sonu iyi olsa filmi kurtaramamis.izlemeyenlerin hiçbirsey kaybetmeyecegi bir film bana göre.,negative
tek kelimeyle mükemmel bir film.bir daha bunun gibi bir film asla çekilemez ....,positive
bu filmin devami gelcek bide höh.bedava izletseler ilk önce düsünürüm.izlerken sikildim baya.gitmeyin derim.görsellik adina pek birseyde yok zaten.senaryosuda kötü..,negative
sirf vhopkins için bile olsa bu film izlenir arkadaslar onun oyunculugu bile yeter bence. .,positive
ne yazikki bugün mecburiyetten dolayi izlemek zorunda kaldim dante 01i tüm seanslari kaçirmistim.. . bir film bu kadar kötü olamaz gerçekten :s oyuncular deseniz çok kötü konu deseniz belli degil filmin sonunda ne oldu anlayamadik kisacasi tam bir hayal kirikligi :s 90 dakika zaman kaybi resmen .,positive
hayatimda izledigim en kötü korku ve gerilim filmi idi..neredeyse uyuyordum...,negative
"süper bir film.fantastik olaylar,komedi,romantizm içeriyor.vaktin nasil geçtigini anlamiyorsunuz.siddetle tavsiye edilir..",positive
bence  deil ama yine de gzl di.,positive
çok kötü bi film havada kaldi lütfen biri bana samuel jackson in bu iste nasil bi parmagi oldugunu anlatir mi? neydi o gördükleri yasadiklari halüsinasyon mu? bu ikiliden daha saglam bi senaryoda oynamalarini beklerdim yazik bosa geçti zaman.,negative
kesinlikle çok basarili bir film.ben kendimi duygusuz olarak nitelendiren bi insandim:)ama bu filmde ipler koptu bende koptum.çok güzel bir film.bence oskar bile almali....,positive
"kadro süper,eric bana ti amo:))izleyinnnnnnnnnn.",positive
çok çok kötü. güldürmekten çok kendinden sogutan bir yapim. daha ilk bes on dakikada film ne zaman bitecegini düsünmeye basliyorsunuz. gerek siz bir film. .,negative
çoook enteresan bi film akliniz da kalacak bi sahne yok belki ama sikilmadan sonunu bekliyeceginiz bi film..,positive
"""tempolu bir aksiyon, karizma oyuncularla birlesirse ortaya kola ve cips ile ne güsel bir seyirlik çikar""in en güzel örneklerinden....",positive
uzun zaman sonra ilk defa bir film bitmesin 5-6 saat sürsün istedim.,positive
"hiç beklemediginiz bir johnny deppi izlemeye hazir olun, filmi izlerken cok sikildim ve bütün salon filmden hiç memnun degildi, ara verilmeden filmden cikanlar bile oldu...simdiye kadar yapilmis en kötü johnny depp filmidir...",negative
bencede dört dört'lük film ama gelecek program yaziyor ben 1 ay önce izledim üstelik orjinal di sadece alt yaziyi baska yerden indirdim nasil is anlamadim:s ama film süper.,positive
bence bu film hababam sinifi  dan kat kat iyi bir fil olmus niyemi kiyasladim filmi çünkü ayni oyuncular var ama çikan isler çok farkli.,positive
bence k.irak filmine göre daha kötü olmus irakda filminde biraz daha olabilir seyler gibiydi simdi ii güzel hareketli ama çok abartili olmus eski cüneyt arkin filimleri tarzinda olmus biraz,negative
bir farkliligi olmayan animasyon. kizimla beraber gittik 6 yasa 36 yas ve ikimiz de begenmedik. o denli reklama yazik..,negative
irenç berbat bir film bi kere ashton kutcher oynamiyor ayriyetten film sonunda 3. filmin olacani gosterdiler yani bilmiyorum devam filminde 4.3 aldiysalar bu kadar irenc se heralde 3. filmde 2.5 falan alirlar ........,negative
film güzeldi ilginç bir konusu vardi sonuna kadar film kendine sikmadan bagliyor izlenmesini tavsiye ederim.,positive
"filmi simdi izledim..kesinlikle hayal kirikligina ugradim. hersey sinirli kullanilmis, mekan,kisi,diyaloglar.. bu kadar kötü bir film olacagi aklimdan geçmezdi. zaman kaybi.",negative
yillarca amerikan propagandasi yapilan filmleri beynimize kazidik.iste amerikalilarin gerçek yüzünü gösteren film.mükemmel.,positive
filmin havasi anlatim tarzi çok hos. unultulmaya baslayan bir meslege hayranlik duyuyor insan.oyunculuklar zaten süper. sinema da bu kadar göz boyayan film varken bu film hem felsefe yapip hem de akici olabiliyor.ben ce bu kadar kisi lütfedip puan veriyorsa bu puani da hakediyordur..,positive
bu film herseyiyle süper yaa!!!!hayatimda izledigim en güzel film!!!!sonsuza kadar bu filmi izleyebilirim!!!!bu filmi sewmeyen ölsün!!!,positive
bu film puani bile haketmiyor bi de görsel efekt var demisler sinemada degil filimin içinde olsan da bu film izledigim en kötü filmlerden biri.,negative
tek kelimeyle super bir film izlenmeye deger bi film heleki sam mukemmel kopek ya filmi gercekten iyi yapmislar bu adamin her filminin bu kadar guzel olmasi sartt mi?ben robot filmi gibi super ya hakkini vermek lazim...bu adamin her filmi guzel.....,positive
vampirligin islendigi süper bi film. çok begendim birçok vampir filminden çok daha iyi....,positive
"su an bunlari yazarken bile fonda ucuz romanin müzigi ve ben yine kendimden geçmis bir vaziyette,bildiginiz trans hallerinde:)he neyse,üzerinde fazla yorum yapilacak bir film degil,hersey ayan beyen ortada zira.sadece naçizane izleyin demekle yetinecegim....",positive
son sahnede koptum  çok seyler beklemeden izlenirse zevk alinabilir.... .,positive
sinopta tek sinema var ve bu filmin burada gösterime verilecegini sanmiyorum.. üzüntümüz büyük.,negative
çok ürprtici 1 film olmus sahsen çok manyak elektrik aldm stop....nokta..,positive
"harikanin ötesinde bir film aslina bakarsaniz, her sey bir geyik ugruna oldu.geyik için binaya sam gitti ardindan robert. orada kurulan tuzagi gören komutan zombie'se bunu ögrendi ve ayni seyi robert üzerinde yapti.. yani her sey bir geyik ugruna..",positive
film hiç iyi degil bosa vakit kaybi ayrica filmde igrenç sahneler var..,negative
beyler son derece izlemek istedigim bir film ama izleyememek ne kadar kötü!!!.,positive
nedense hollywood bu ara afrika ülkeleri ve zenci insanlara yapilan zulümler üzerine çok film yapmaya basladi bu filmde onlardan biri. zevkle iszleyebileceginiz bir film. gerçek bir hayat hikayesi....,positive
"güzel bir filim degil, bos bir yapim. izlemeden geçebilirsiniz, vakit kaybi..",negative
"arkadaslar,kitabi okuyanlar sakin ola izleme hatasina düsmesinler,çünki sinemada uyuyacaginiza evde güzel bir uyku çekin....",negative
açikcasi arsivlik degeri olsada aldigi puani haketmeyen bir film oyunculuk ve görsellik adina 8 i hakeder ama konusu uyutuyor insani izlemeden ölebilirsiniz..,positive
kim ne derse desin bence serinin en güzel filmi. .,positive
çok kaliteli bir film olmus.. basindan sonuna kadar gözlerimi kirpmadan izledim ve çok keyif aldim.. oscar da pek fazla sans taninmayan ama bence senaryoyu hak eden ilk film olan prestige kesinlikle izlenmesi gereken bir film.. çünkü o sondaki uzun süreli saskinlik yasanmali...,positive
arakdaslar hiçte al pacino ve robert de niro ya aldaniptra filmi izlemeyin.film bastan sona çok sikici ve filmin sonunu daha bastan tahminb edebilyorsunuz.hiç gerek yok bence para harcamaya....,negative
aglamadim ama çok etkiledi beni herkese tavsiye ederim ..,positive
"öylesine gittigim bi filmdi ama çok eglendim. demek ki romantik komedi de o kadar asagilanasi bir tür degilmis. fransizlar yapmis merak eden varsa buyursun gitsin, çok eglenecek..",positive
gayet güzel bir filmdi..will smith gerçekten çok güzel bir performans göstermis..bir ara gözlerim bile doldu ailesinden ayrildigi zaman ..sonunuda iyi bitirmisler bence .eger ordan kurtulsaydi çok saçma olurdu..herseyiyle güzel br filmdi..izleyin derim ....,positive
çok aptal bir filmhayal kirikligina ugradim walla....,positive
saheser kelimesi az kalir yaninda azim hersey cahillik en guzel sey insani en mutlu eden sey nekadar az bilirsen okadar iyi.,positive
tek kelimeyle mütisti...özellikle memati ile polatin otel çikisindaki diyaloglari en güzel film repligini alacak güzellikteydi.,positive
"savasin içinde gerçeklesen unutulmaz bir ask hikayesi,herkes filme savas sirasindaki kamera açilarinin inceliklerine bakarken ben sadece iki kisi arasindaki güçlü sevgi baglarindan yaklasiyorum.uzun süre unutamadigim ve tam not verdigim bir kült film....",positive
vala arkadaslarim cok cok gusel bi filmdi.hosuma gitti eglenceli heyecanli gorsel efektlerde bi haylii etkileyiciydi.en hosuma gidende rolu olarak yildiz olan kizin aska gelince dahada parlamasi..cocuk ona yaklasinca öpunce dahada parliyodu cok tatli bi film ya gidin dderimmmm.,positive
herkes iyi oynamis.. alt kültür kliseleri daha iyi islenseydi sonuç daha kayda deger olabilirdi. .,negative
film tam bir fiyaskoydu tamamen hayal kirikligina ugradim çok bayatti hiç tat alamadim sadece ilk 10 dk ve sonlari heyecanliydi.serinin en zayif halkasi olmus bu yönetmende ancak bu beklenirdi yazik gerçekten bekledigimize yazik :@.,negative
